Name;Time;X;Y
jim;49;-133,67625601836866;173,30362680716308
johnMclain;49;-330,89214708201666;334,87230860671946
LuckyLuke;49;-354,5162468811181;358,35763144176997
soc;49;-50,0;-50,0
BadJoe;49;6,0;-2,0
counter1;50;10,0;10,0
DLH123;50;20,0;20,0
jim;50;-137,20749569557287;176,84344973241497
johnMclain;50;-337,9630066886732;341,9435846176635
LuckyLuke;50;-361,5857586594996;365,4302549447797
soc;50;-50,0;-50,0
BadJoe;50;6,0;-2,0
counter1;51;10,0;10,0
DLH123;51;20,0;20,0
jim;51;-140,73892885926375;180,383079629789
johnMclain;51;-345,03387485610796;349,0148520683231
LuckyLuke;51;-368,6553303221889;372,5028185893219
soc;51;-50,0;-50,0
BadJoe;51;6,0;-2,0
counter1;52;10,0;10,0
DLH123;52;20,0;20,0
jim;52;-144,27054271830826;183,9225292410428
johnMclain;52;-352,10475106696407;356,08611147600635
LuckyLuke;52;-375,724958477347;379,5753257648429
soc;52;-50,0;-50,0
BadJoe;52;6,0;-2,0
counter1;53;10,0;10,0
DLH123;53;20,0;20,0
jim;53;-147,80232558492276;187,46181021082867
johnMclain;53;-359,1756348447492;363,15736331716255
LuckyLuke;53;-382,7946399845476;386,6477796096372
soc;53;-50,0;-50,0
BadJoe;53;6,0;-2,0
counter1;54;10,0;10,0
DLH123;54;20,0;20,0
jim;54;-151,3342667581986;191,0009332022658
johnMclain;54;-366,2465257498789;370,22860803133796
LuckyLuke;54;-389,8643719319057;393,7201830336865
soc;54;-50,0;-50,0
BadJoe;54;6,0;-2,0
counter1;55;10,0;10,0
DLH123;55;20,0;20,0
jim;55;-154,86635642207938;194,5399079982069
johnMclain;55;-373,31742337617106;377,29984602468085
LuckyLuke;55;-396,93415161565883;400,79253873905026
soc;55;-50,0;-50,0
BadJoe;55;6,0;-2,0
counter1;56;10,0;10,0
DLH123;56;20,0;20,0
jim;56;-158,39858555574028;198,0787435902226
johnMclain;56;-380,3883273477323;384,3710776730544
LuckyLuke;56;-404,00397652189884;407,86484923810985
soc;56;-50,0;-50,0
BadJoe;56;6,0;-2,0
counter1;57;10,0;10,0
DLH123;57;20,0;20,0
jim;57;-161,93094585464493;201,61744825700708
johnMclain;57;-387,4592373161863;391,44230332480794
LuckyLuke;57;-411,07384431019466;414,93711686992475
soc;57;-50,0;-50,0
BadJoe;57;6,0;-2,0
counter1;58;10,0;10,0
DLH123;58;20,0;20,0
jim;58;-165,4634296608246;205,15602963364356
johnMclain;58;-394,53015295820137;398,5135233032492
LuckyLuke;58;-418,1437527988821;422,0093438149249
soc;58;-50,0;-50,0
BadJoe;58;6,0;-2,0
counter1;59;10,0;10,0
DLH123;59;20,0;20,0
jim;59;-168,9960299011466;208,69449477294856
johnMclain;59;-401,60107397327926;405,58473790885483
LuckyLuke;59;-425,2136999518249;429,0815321081334
soc;59;-50,0;-50,0
BadJoe;59;6,0;-2,0
counter1;60;10,0;10,0
DLH123;60;20,0;20,0
jim;60;-172,5287400325237;212,23285019993236
johnMclain;60;-408,67200008177474;412,65594742125063
LuckyLuke;60;-432,28368386647946;436,1536836510887
soc;60;-50,0;-50,0
BadJoe;60;6,0;-2,0
counter1;61;10,0;10,0
DLH123;61;20,0;20,0
jim;61;-176,06155399317052;215,7711019602596
johnMclain;61;-415,74293102311754;419,72715210098954
LuckyLuke;61;-439,3537027631148;443,22580022261235
soc;61;-50,0;-50,0
BadJoe;61;6,0;-2,0
counter1;62;10,0;10,0
DLH123;62;20,0;20,0
jim;62;-179,5944661591426;219,3092556634679
johnMclain;62;-422,8138665542131;426,7983521911503
LuckyLuke;62;-446,42375497506015;450,29788348855084
soc;62;-50,0;-50,0
BadJoe;62;6,0;-2,0
counter1;63;10,0;10,0
DLH123;63;20,0;20,0
jim;63;-183,12747130550173;222,84731652159343
johnMclain;63;-429,88480644800194;433,8695479187784
LuckyLuke;63;-453,493838939867;457,3699350106045
soc;63;-50,0;-50,0
BadJoe;63;6,0;-2,0
counter1;64;10,0;10,0
DLH123;64;20,0;20,0
jim;64;-186,66056457154303;226,38528938376373
johnMclain;64;-436,9557504921586;440,9407394961863
LuckyLuke;64;-460,5639531912877;464,44195625434077
soc;64;-50,0;-50,0
BadJoe;64;6,0;-2,0
counter1;65;10,0;10,0
DLH123;65;20,0;20,0
jim;65;-190,19374142959674;229,92317876723996
johnMclain;65;-444,02669848791584;448,0119271221298
LuckyLuke;65;-467,6340963519837;471,51394859647905
soc;65;-50,0;-50,0
